timestamp,device_id,voltage_V,current_A,power_W,state,status
2026-03-24T18:00:00Z,esp32_sensor_01,220.1,0.000,0.0,IDLE,NORMAL
2026-03-24T18:00:05Z,esp32_sensor_01,221.3,0.000,0.0,IDLE,NORMAL
2026-03-24T18:00:10Z,esp32_sensor_01,219.8,0.000,0.0,IDLE,NORMAL
2026-03-24T18:00:15Z,esp32_sensor_01,220.5,0.000,0.0,IDLE,NORMAL
2026-03-24T18:00:20Z,esp32_sensor_01,222.1,0.000,0.0,IDLE,NORMAL
2026-03-24T18:00:25Z,esp32_sensor_01,219.0,0.040,8.7,9W_BULB,NORMAL
2026-03-24T18:00:30Z,esp32_sensor_01,220.6,0.042,9.2,9W_BULB,NORMAL
2026-03-24T18:00:35Z,esp32_sensor_01,221.7,0.040,8.8,9W_BULB,NORMAL
2026-03-24T18:00:40Z,esp32_sensor_01,219.5,0.041,9.0,9W_BULB,NORMAL
2026-03-24T18:00:45Z,esp32_sensor_01,222.3,0.041,9.1,9W_BULB,NORMAL
2026-03-24T18:00:50Z,esp32_sensor_01,220.9,0.000,0.0,IDLE,NORMAL
2026-03-24T18:00:55Z,esp32_sensor_01,220.1,0.000,0.0,IDLE,NORMAL
2026-03-24T18:01:00Z,esp32_sensor_01,219.6,0.910,199.8,200W_BULB,ANOMALY
2026-03-24T18:01:05Z,esp32_sensor_01,218.4,0.915,199.8,200W_BULB,ANOMALY
2026-03-24T18:01:10Z,esp32_sensor_01,221.2,0.908,200.8,200W_BULB,ANOMALY
2026-03-24T18:01:15Z,esp32_sensor_01,219.9,0.912,200.5,200W_BULB,ANOMALY
2026-03-24T18:01:20Z,esp32_sensor_01,220.1,0.911,200.7,200W_BULB,ANOMALY
2026-03-24T18:01:25Z,esp32_sensor_01,222.0,0.000,0.0,IDLE,NORMAL
2026-03-24T18:01:30Z,esp32_sensor_01,221.1,0.000,0.0,IDLE,NORMAL
2026-03-24T18:01:35Z,esp32_sensor_01,219.2,0.450,98.6,100W_BULB,ANOMALY
2026-03-24T18:01:40Z,esp32_sensor_01,220.5,0.455,100.3,100W_BULB,ANOMALY
2026-03-24T18:01:45Z,esp32_sensor_01,219.8,0.453,100.0,100W_BULB,ANOMALY
2026-03-24T18:01:50Z,esp32_sensor_01,221.9,0.000,0.0,IDLE,NORMAL
2026-03-24T18:01:55Z,esp32_sensor_01,220.3,0.000,0.0,IDLE,NORMAL
2026-03-24T18:02:00Z,esp32_sensor_01,218.9,0.270,59.1,60W_BULB,ANOMALY
2026-03-24T18:02:05Z,esp32_sensor_01,221.4,0.275,60.8,60W_BULB,ANOMALY
2026-03-24T18:02:10Z,esp32_sensor_01,220.1,0.272,59.8,60W_BULB,ANOMALY
2026-03-24T18:02:15Z,esp32_sensor_01,222.5,0.000,0.0,IDLE,NORMAL
2026-03-24T18:02:20Z,esp32_sensor_01,219.7,0.000,0.0,IDLE,NORMAL
2026-03-24T18:02:25Z,esp32_sensor_01,220.0,0.040,8.8,9W_BULB,NORMAL
2026-03-24T18:02:30Z,esp32_sensor_01,219.9,0.041,9.0,9W_BULB,NORMAL
2026-03-24T18:02:35Z,esp32_sensor_01,221.5,0.040,8.8,9W_BULB,NORMAL
2026-03-24T18:02:40Z,esp32_sensor_01,219.0,0.000,0.0,IDLE,NORMAL
2026-03-24T18:02:45Z,esp32_sensor_01,220.4,0.000,0.0,IDLE,NORMAL
